"pais_codigo","pais_nome","evento_data","Ouro","Prata","Bronze","rank"
"CHN","China","2024-08-10",39,27,24,1
"USA","EUA","2024-08-10",38,42,42,2
"AUS","Austrália","2024-08-10",18,18,14,3
"JPN","Japão","2024-08-10",18,12,13,4
"FRA","França","2024-08-10",15,24,22,5
"GBR","Grã-Bretanha","2024-08-10",14,22,27,6
"KOR","República da Coréia","2024-08-10",13,8,9,7
"NED","Países Baixos","2024-08-10",13,7,12,8
"GER","Alemanha","2024-08-10",12,11,8,9
"ITA","Itália","2024-08-10",11,13,15,10
"CAN","Canadá","2024-08-10",9,7,11,11
"NZL","Nova Zelândia","2024-08-10",9,7,2,12
"UZB","Uzbequistão","2024-08-10",8,2,3,13
"HUN","Hungria","2024-08-10",5,7,6,14
"ESP","Espanha","2024-08-10",5,4,8,15
"SWE","Suécia","2024-08-10",4,4,3,16
"KEN","Quênia","2024-08-10",4,2,4,17
"NOR","Noruega","2024-08-10",4,1,3,18
"IRL","Irlanda","2024-08-10",4,0,3,19
"BRA","Brasil","2024-08-10",3,7,10,20
"UKR","Ucrânia","2024-08-10",3,5,4,21
"IRI","Repúb. Islâmica Irã","2024-08-10",3,5,2,22
"ROU","Romênia","2024-08-10",3,4,1,23
"GEO","Geórgia","2024-08-10",3,2,1,24
"BEL","Bélgica","2024-08-10",3,1,6,25
"BUL","Bulgária","2024-08-10",3,1,3,26
"CZE","Tchéquia","2024-08-10",3,0,2,27
"AZE","Azerbaijão","2024-08-10",2,2,2,28
"CUB","Cuba","2024-08-10",2,1,5,29
"CRO","Croácia","2024-08-10",2,1,3,30
"SRB","Sérvia","2024-08-10",2,1,1,31
"SLO","Eslovênia","2024-08-10",2,1,0,32
"TPE","Chinese Taipei","2024-08-10",2,0,5,33
"AUT","Áustria","2024-08-10",2,0,3,34
"HKG","Hong Kong, China","2024-08-10",2,0,2,35
"PHI","Filipinas","2024-08-10",2,0,2,35
"ALG","Argélia","2024-08-10",2,0,1,36
"INA","Indonésia","2024-08-10",2,0,1,36
"ISR","Israel","2024-08-10",1,5,1,37
"POL","Polônia","2024-08-10",1,3,5,38
"KAZ","Cazaquistão","2024-08-10",1,3,3,39
"JAM","Jamaica","2024-08-10",1,3,2,40
"RSA","África do Sul","2024-08-10",1,3,2,40
"THA","Tailândia","2024-08-10",1,3,2,40
"DEN","Dinamarca","2024-08-10",1,2,5,41
"SUI","Suíça","2024-08-10",1,2,5,41
"ECU","Equador","2024-08-10",1,2,2,42
"POR","Portugal","2024-08-10",1,2,1,43
"ETH","Etiópia","2024-08-10",1,2,0,44
"GRE","Grécia","2024-08-10",1,1,6,45
"ARG","Argentina","2024-08-10",1,1,1,46
"BRN","Bahrein","2024-08-10",1,1,1,46
"EGY","Egito","2024-08-10",1,1,1,46
"TUN","Tunísia","2024-08-10",1,1,1,46
"BOT","Botswana","2024-08-10",1,1,0,47
"CHI","Chile","2024-08-10",1,1,0,47
"LCA","Santa Lúcia","2024-08-10",1,1,0,47
"UGA","Uganda","2024-08-10",1,1,0,47
"DOM","República Dominicana","2024-08-10",1,0,2,48
"GUA","Guatemala","2024-08-10",1,0,1,49
"MAR","Marrocos","2024-08-10",1,0,1,49
"DMA","Dominica","2024-08-10",1,0,0,50
"PAK","Paquistão","2024-08-10",1,0,0,50
"TUR","Türkiye","2024-08-10",0,3,5,51
"MEX","México","2024-08-10",0,3,2,52
"ARM","Armênia","2024-08-10",0,3,1,53
