"pais_codigo","pais_nome","esporte_codigo","esporte_nome","evento_genero","evento_medalha","evento_atleta","evento_data"
"USA","EUA","ATH","Atletismo","Homens","Ouro","Noah LYLES","2024-08-04"
"USA","EUA","ATH","Atletismo","Homens","Ouro","Quincy HALL","2024-08-07"
"USA","EUA","ATH","Atletismo","Homens","Ouro","Cole HOCKER","2024-08-06"
"USA","EUA","ATH","Atletismo","Homens","Ouro","Grant HOLLOWAY","2024-08-08"
"USA","EUA","ATH","Atletismo","Homens","Ouro","Rai BENJAMIN","2024-08-09"
"USA","EUA","ATH","Atletismo","Homens","Ouro","Ryan CROUSER","2024-08-03"
"USA","EUA","ATH","Atletismo","Mulheres","Ouro","Gabrielle THOMAS","2024-08-06"
"USA","EUA","ATH","Atletismo","Mulheres","Ouro","Sydney McLAUGHLIN-LEVRONE","2024-08-08"
"USA","EUA","ATH","Atletismo","Mulheres","Ouro","Tara DAVIS-WOODHALL","2024-08-08"
"USA","EUA","ATH","Atletismo","Mulheres","Ouro","Valarie ALLMAN","2024-08-05"
"USA","EUA","ATH","Atletismo","Mulheres","Ouro","United States","2024-08-09"
"USA","EUA","ATH","Atletismo","Homens","Prata","Kenneth BEDNAREK","2024-08-08"
"USA","EUA","ATH","Atletismo","Homens","Prata","Kenneth ROOKS","2024-08-07"
"USA","EUA","ATH","Atletismo","Homens","Prata","Daniel ROBERTS","2024-08-08"
"USA","EUA","ATH","Atletismo","Homens","Prata","Sam KENDRICKS","2024-08-05"
"USA","EUA","ATH","Atletismo","Homens","Prata","Joe KOVACS","2024-08-03"
"USA","EUA","ATH","Atletismo","Mulheres","Prata","Sha'carri RICHARDSON","2024-08-03"
"USA","EUA","ATH","Atletismo","Mulheres","Prata","Anna COCKRELL","2024-08-08"
"USA","EUA","ATH","Atletismo","Mulheres","Prata","Katie MOON","2024-08-07"
"USA","EUA","ATH","Atletismo","Mulheres","Prata","Annette Nneka ECHIKUNWOKE","2024-08-06"
"USA","EUA","ATH","Atletismo","Misto","Prata","United States","2024-08-03"
"USA","EUA","ATH","Atletismo","Homens","Bronze","Fred KERLEY","2024-08-04"
"USA","EUA","ATH","Atletismo","Homens","Bronze","Noah LYLES","2024-08-08"
"USA","EUA","ATH","Atletismo","Homens","Bronze","Yared NUGUSE","2024-08-06"
"USA","EUA","ATH","Atletismo","Homens","Bronze","Grant FISHER","2024-08-02"
"USA","EUA","ATH","Atletismo","Mulheres","Bronze","Melissa JEFFERSON","2024-08-03"
"USA","EUA","ATH","Atletismo","Mulheres","Bronze","Brittany BROWN","2024-08-06"
"USA","EUA","ATH","Atletismo","Mulheres","Bronze","Jasmine MOORE","2024-08-08"
"USA","EUA","ATH","Atletismo","Mulheres","Bronze","Jasmine MOORE","2024-08-03"
